Text,Emotion
Yar ab khe rhye ha ke wo pechlye semaster ke bi jamma karvao.,disgust
Hahaha aur kis ki ani thy agr teri ni ani thy to,joy
Nae m nae bolna tm se bhag bhag,disgust
Or kahan kahan apply kia ha?,anticipation
Wo abhe gya ha mare hstel se theak tha,neutral
its depend on ur thnkng level...mera koi kasur ni or ma n kisi ko kush kha ha,anger
chlo us k lye best ov luck,optimism
Yr min nae sb say phaely kharna tha samjha khar na.,neutral
Mery pas ha pdf mai :) sbha ay ga!,joy
Nae ma paperz ka bad du ga tu na apply kr dia?,anticipation
Ok main ny tmhain btana tha k kal mera 11:30 sy 4:30 k darmyan aik test hai.,neutral
Me Subha Dun Ga. Light Nhi Hai Is Time.,optimism
Haan bus cashe ka difference hai.. but tum 6mb cashe wala laga lo... same...,neutral
"may be i3 bht acha fit 20 tak ajye

but sure nhi hn ",optimism
Plz 10bjy lab k lye poch jana..,optimism
R u in uol? Foto ho gai?,neutral
"Paper ksa hua !!
Bhi birthday treat panding ha abi :D",joy
Hmm aa ja n do u have thread?,anticipation
Papa se kahein k ek watermelon acha sa leke bhej dein kul,trust
Yr home tusin walay ka number da,trust
Wo kah rahay hain ap ka number drust ni,neutral
"Dsa k sir ny koi hmwork dya? Kya parhaya tha?,",anticipation
Yr subha 11 bhjy thk..aur umair aya ka nahi.,anticipation
"was went for friend 
He said mujhy shadman chor aa itkaf ma bethna hai usy chor kr aya ",optimism
cHalooo Sadia Choudhary sheTaaannn ye to bht cHotA word nAiiii... ,anticipation
Hm room ma a gay han.,neutral
Mei room mei hu. Everyone is sleeping here :p ,joy
Nothing galti say send ho gya wo ai wala task kar rha tha :p,anticipation
wsay unho ny b ksm kha li muj s na milny ki,disgust
You do look great in it :p ,joy
Pehlay mjy keh keh k kisi ko btana nai k mein m.phil kr rai houn.aur phr khud hi sb ko bta diya.,disgust
Yar me ak din phlye chala jao ga apna room confirm karva lu ga.,optimism
Telha nay sham ko khelna hai,anticipation
Han bs l8 ka kafi msla h,disgust
Ok mje b kal kr dena phr,trust
Yr ajeeb ha waise dnu ki value me zameen asmaan ka fark ha,disgust
Yr 4 din ka han bs 14 ya 15 ko khatam.,neutral
ab b neend aa rhi h :P,joy
Hmmmm . Manana tu pare ga . Yar uska whi koi afair chalwa do ar wya kra do ,love
Hum Kal subha 8:00 bjae wali Daewoo pr ae rahy hy.....,anticipation
yr koi asteefa ni dena kisi ne,neutral
Ubb tou Mashallah barri hou gai houn gi :-) ,optimism
Ni jani mera kam bhala kacha hota ha. Sb thk ha car wala,love
Husaan kya kta hy k jana ya nhu,anticipation
chal ay jhootiiii -_- :P :D,disgust
"Hmm..logo ki phyci kO smjna bhttg mushkil ha...apny mtlb k liye kch b kary gy...
Jb kaam khtm kary ga tO chOti he karni ha aur kya bchy ka achar dalna ha...!!",anger
Mar le yar jb marna h0,anger
Oye le lo pagal same ha wo cs k ,neutral
ab os ny ki to ma n unfrnd kr dna ha...,anger
Nahi aye thy but last main jo bhejay thy woh nahi kyn k woh mery mob main nahi hai isliye show nahi hoty,neutral
clear na hui to papa to hr time shadi k pixhy pary rhty,neutral
"Ok mari 8 ,se 10 or 10\ se 12 hai",neutral
Hhhhaaaaa sahi ka kaboom ka  ha lamba hota ha,joy
Yr mujy hafty ki be cls laena hn a ur fir late ho jao ga min.,fear
Yr us k bahi bhr chala gaya na,neutral
or papa phrmcy krny ka kah ry,neutral
Me time pe aa jaon ge almost 5::50 tk,optimism
"Oho frnds :-P wo jo 2 , 4 hain wo e frnss??? :-P ",joy
I'm busy in class now. I'll call you later.,neutral
Meray ghar sai 50 feet dor tak 3 g k signal hain aur mari sim par 500 mb free volume Bhi hai,neutral
Yar kisi frnd k ghr. . Jiska ghr empty h0,neutral
Yr tre lptp ka kya bna??,neutral
Habbit ? No way shikayat ka moqa thori kabhi deti hon :-D,surprise
Time change now 7pm because Adeel outside. Cc MUAZ,neutral
R jo bhai behr gaye thy unka kia bna?,neutral
Tare pas ya log ayain ga boks lane ha uzi ne,optimism
Suny sherad ache ha mehran nhe ar pta kia bt ha abi hmain ati nhe chalni agr zra b khaian lg lga gai to re sale value nhe rhy ge filhal ye he lyni ha mamu ne chk ki ha car ache ha,fear
"Ha ab ma karwa k he aO ga ab aya hO tO 
Br br nai aya jata yrr",disgust
mtlb k yr tjhe kxa hta tha? try views? n pure l0ve ks sy kiya? tjhe ks ny pyar diya? tu agy kya chahta h k tjhe agy life ma kxa chahxe??,neutral
Lab me kb tak ana hai.. ?,neutral
Ha to yha kn se andy dy rhan hn me,disgust
Oyy woh speaker chahye mjy aj,trust
"Yar zoo,lawrence garden maghrib tym band ho jaty hn in k elawa dekh lo kahn jayn...fortress hy wahn ronak kafi hoti hy wo dekhny ja skty hn rat ko ya phr kahi or ka dekh lo...",anticipation
"Missssssung him alot :(
Sb bht achy and caring hen bt obviously no one can replace him
Just do pray k vizas open jo jaian......",sadness
meri wapsi sham tk hy...jaldi any ke koshish kro ga pori ,optimism
Maria apne kisko msg kiya hay?,neutral
ufff itnaaaaa sara gusa bhai :-P yr bs exams ma bzy hn kl sham ko aon ga,anger
Hmary lec kal honay hain kal c Sec ka time table lag jaye ga,optimism
Fcebuk pa status ho jae :-P ,joy
Yar! Me Ne USB Me Windows Karwani Hai. Kar Do Ge?,trust
Yr larky ko kaha hy wo kal urdu bazar jaye ga to ly aay ga meny b magwai he,trust
Han mera h.p ka lappy ha :-P ,joy
"Or btaen....ap office mein hen??
Kaam kar rahe hen??",anticipation
Oye o negative blood group ha kisi ka??,neutral
Yar maths ki assgnmnt submitt kb tk krwani ha ??,trust
Wo pata nahi kb jai gy unko 1 month b nahi howa,neutral
kese kaha to tha good one.........,neutral
Mera khyal a nai kr rya,neutral
Sir abid sahab keh rahe hn garam ande bhi hn,neutral
Samja kro na me busy hu,neutral
Mery pass to koi ji hai... may kn sa sale krta hn...,neutral
Han may dopehr ko aon ga 3 bjy,anticipation
Me kims ke bilkul samne kara hu.,neutral
"Miss g ap ka kia hal ha miss g mera paper check ho gya ha
esha shafiq",anticipation
wah g wah mubarik o.....dubai ?,joy
"Tensn nae lo yar,tmhara area safe hai...",fear
To pehly ku ni ki ku drame kye,disgust
ay meri sheeeooo loat k aja bin tere her matm her khushi adhuri h,love
Yrrr bilal apni s.p ki book to laa dynaa kindly aj . . I'll return u afterwards !!!!,trust
Meri ni tadi.... Main ty aya c milan ty o kehnday k o chala gya ay. Main bar aya ty gadi ja raye c....,sadness
Haan fb use krta hun leken kam ,neutral
Hahahah jealous hny k lye yhi chz rh gy hy kia :P,joy
Tmhein nai pata tmhara nam kia hai? Abhi btao sir ne call krke manga hai,trust
Yr tu lhr khariat se aya hai,fear
Facebook wala part thora tough hai..,fear
"android studio use kar wo asan hai,",neutral
Evening time hai.. 4:30 to 7:30,neutral
Yar marzi ha tahir sahib ki.,neutral
SOya hwa tha utha hO abi bOok opn ki ha ap bOlo..?,neutral
Ok. Me Raat Ko Check Karun Ga.,optimism
Main abi aya hn. Mujay 15 mnt lagain gay agar wait kar saktay hain to theek hai ,neutral
We wil go at 11:45 insha Allah,optimism
Yar mere family walo ki calls aa rhi hai k roll no.bta result aa gya,fear
pr yr mushkil s manya hai thora prhny dyn,neutral
"Q kheriyat, apko kya lg rha ?",fear
Subha 10 baje f section ki b03 main. Kindly jigar sanbal laina,trust
Yar haftay ko subah bjay se pehlay lhr pohanchna he.arfa karim tower jana he  ,optimism
"Me to university k hostel me hun 
aap kdr ho bhai ?",neutral
"Yr late to hogya ho,Ub kia hoskta ha?...",fear
Or kaha tak puhanchi h tiyari?,anticipation
Plz contact when u get free. Jazak Allah,trust
Oye tu ne k0n sa cell lia ha?....,neutral
Sara course admin sa hi karwao ga..,neutral
acha yr wait mama bola rean,neutral
Na g na etne jaldi maina koe nae ana.,fear
Yar u did nt send me those pics of mine and faiza. Dr adil k waleema k din wali,disgust
mein bnwa rha hun wo circuit within 1 hr mil jaega,optimism
Pepsi lay ao tumra susra ayia hai,trust
Han na mama papa k mrzi se krn ge,optimism
Teri k0i frnd ni i kia,anticipation
"Salam
Ammi ko bata dain
Main Mahroze Malik ke saath houn aur wapsi pe Aunti Nasreen ki taraf ruk jaoon ga.
She knows Mahroze well. my friend from Multan",trust
"Oye, kisi k paas pdf form mein koi acha novel para hua h? :P Haye, can u believe, mene ab tk ek b novel nhi prha :( :D musibat ye h k mjse pdf me nhi hota sahi download, online prhna prta h.. :|
P.S: huma ye msg tmhare liye nhi h, heraan na hona!! :P",anticipation
Kal rhne de parso sai ha. ,neutral
Today meeting is at 12. Wslm,optimism
joo kr ry acha nai kr ry hoo nd listen mubeen ap ny kaha tha k m tang ajao ga ap sy par ap agai mjh sy tang,anger
Hamza ki baat ker rha hun.,neutral
Mama ki tbyt thek ha  doctr pas gae the,fear
Tmara to p0rany walaaa jo0o0o ha to k0nsa tha?,neutral
Fawad nd sonam ae the us me! Sonam ka bs nae chal ra tha k fawad k andr ghus jae nd wo bechara to itne decnt nd manrd teriqe se behave kr ra tha zara b sonam ko lift nae krai us ne!,joy
Softcopy me kn kn si ha tery pas.,neutral
Yr kia mtlb ok kr k bhr hn pehli wali bt to bta,disgust
Han pta ha woi na idea chahye.,neutral
Yr hassan ap ny muje books mail ni ki hain yr management or marketing ki book muje mail kr do plz,trust
Yr mujy teri samj nai aati kya chahta hy... reny dy idar e reh,pessimism
Yr vo calculus ka cod btai,trust
han mri bi gud ja ri ha g,neutral
Yar wath to mje khud intne nahi ate,fear
I just checked over internet as well and got this surprisingly great update sir :-),surprise
aur ap kia kr rhi ho!!??,neutral
IG Islamabad ne logo ka giraftar krne ka kaha hai arrest kr rae hain logo ko,fear
Naser visual basic ki assignment hai ussi html wale ki 20 ghnte tk krni 2500 de rha aik bnde ki krni bs main tje mail ki hai dekh le,trust
Pakistan ha to kam ho ga,neutral
Ghar ma re set kasy ho ga ?,surprise
Yr  do paper da do fsc k jin m num kam hn khas tor p maths k agr num kam hn to phr dubra aply krdna improvement k paper rzlt s ek mnth foran bd b hoty hn r agly saal b agr rzlt k foran bd waly do r us k rzlt spring s pehly ajay to ap comst m sprng m aply kr sktey ho agly saal do g to phr saron m he aply kr skte ho  ,neutral
Police station gya howa tha .,neutral
Yr bht mzedar he swaee Islamiat k,joy
Yar AI ka sms backup and fb ka tareka bataye,trust
"Ijaz b aap Ki dekhne se phle worried ta
Mujse bar bar poochta ta
But pindi aatey e fan ho Gaya aap sb ka",fear
Yeah but dopahar k khany k bd,optimism
bobby jasos b dkh li or kch g,neutral
Meri lab ho rahe ha thora time lag jaye ga ,neutral
Saifkhan.uol@gmail.com ..... Passward  Jo mail sir ny ki usko dsclassupdates waly link mai upload kr do. ...  ,trust
Tym hr bt pe gyssa krti ho,anger
Salam sir office a jain phir sir yasir se bat kar laite hain,optimism
Yara tery pass window hai ?,anticipation
Yr fortres chala gaiya hn to.aur to aj he jna ha kya.,neutral
Yar me ne ja ke quiz or assignment tyar karni ha.,neutral
Wesy ye scaling downwards ki bjaye upwards b tou ki ja sakti thi k mam course k marks barha detin:P ,joy
Yaar fee km krwany k liye kia kia cheazy required hoti hn plz bta dy sari aik bar soch k,trust
"Ghr pay sab theek hain Allah ka shukr 
uni abi sai sy adjust nae o rae main girls sy b naa zyada baat ",pessimism
"Oye me to bhul e gae thi wo to me ne b dekhni e! Agr hmari cabel a rae hui to phr me larr larr k dekh e ln gi!,",optimism
Noman say kahna bus rokay ga ,trust
ahaaaan......hmmmm on phr meri v krwa dy ma khudi kr ln ga sir sy bat yar,surprise
Yr meri zarurat ho to call kr dai any time.:),joy
Yr number send kr jisy msg krne thy orpus wle ka,trust
"Search for some articles on Google
Or read some forum posts
Lolx
You know I don't know much about iOS",joy
Its about those kids who are terminally ill nd are fighting with every breath not to be their last. We want to give them a lil more moments in their life by fulfilling their one dream.,optimism
Faizan wmc ke preprtn karni ha?,trust
S0ry yr wo sis ka cel khrb ho gya tha,sadness
Inka pas cash nai ha :-/ ab?,disgust
"Mein pohnch gaya hun, tm log abi tk kahan o?",anticipation
"Eshal mood kharab 
nae ho sakti baat 2 mint ",anger
Nahi yaar baat he nahi hoi kissi say...jis say poocho kehtay hai apna Bata :P,joy
R haan kal ana lazmi...me w8 krn g,trust
Matlb k aj bhi video ni deni?,surprise
Phr tera bhai pti ki trf sy election may khara ho rha ha.,neutral
to us ke bad kia krna ha?!!,anticipation
Yr m n r ksi ko lena h johar town s,neutral
Yar kal hamara phla lecture 1:30 bje ha yar plz change karwa. ,trust
Tm papa se khud bat kro plz smjh jayn gy wo,trust
Me ne ap ko btaya tha...,neutral
"Tm se he zada hai, saad se b hojati kbi, aur ak dafa taimour se, faisal calculus ka kbi smjh leta hai",neutral
Ho jain ge theek :) doctor k check krywa unho na.!,joy
Gr m se sb ksy hn,neutral
"Mein phnch rha hun masjid e khizara k pas, thori dair mein",optimism
"G . 
acha yaar dil chota na krn. InshaAllah apka achi jagha admission ho jaey ga. ",optimism
"I hve sent u an email on his feedback. And try to fix thngs in time, kal tk.. He said thngs are small dat nt requird much time to fix.",neutral
Na mjhy waisa banne ka koi intrest.I'm what I'm.,anger
thk thaak. han gxa tha. tm sunao?,neutral
Tm n tw 4 kr liye na,neutral
Haha irritate larki kahan se :p ,joy
Nai filhaal ni mgr anay walay hain sb,optimism
Oey tery 46 marks hy or 32.6 percentile,neutral
G zarur ok tc gud nite,neutral
w.a fit bhai ap sunaen. Alhamdullah...achi guzri .Ap ki eid kaisay guzri,joy
Sir i have sent email regarding that letter plz check out,neutral
Sunnay may to mazay ki lag rahi ha:-P,joy
Good hai.. Us ka khyal rakho ap..,neutral
Rehman garments ke pas hn mai aja ,neutral
Yr meri attendace lga dyna.mai ni asakta,trust
"achaw, mje itna nhi pta world atlas ka :P",joy
Ye wo msg wali assignment ki ha complete,neutral
Dramay na karo nazar hi nahi  aai ball... yeh reflexes,disgust
Yr pf ki basic ka ni pta to baqi kese samaj ay ka,fear
hahahahahahahaha.....or oski frndz ka kya bna...pury grup ka,joy
mein to aaj barish ki tabah kaariyon k bd or blke kaam wali maasi ki chuttiyon k bd ghr ki safaiyaan ki hn :| :D,joy
to kya prgrm h? gari agxe h or murtza qasm b aye h0e hn,anticipation
"Em gud yrrrr
Muju tu laga tha ap bhol hi gae hen ;-)",joy
Phr me ne kia krna ha a k. Ap ki mama akeli ha.,fear
Yar us na muja is Bara ma kuch b nahi bataya,neutral
kuch log kehty hy ke imran khan thk hy ,neutral
I have sent u approximately 250 nsgs,neutral
R mri lyt aa gy :),joy
kiya yad ? 1:17 py txt aya tha ap ka,surprise
Whr r u. I m at home,neutral
"wese wo ajkl PTI or TUQ k peechay deevanay hue ve hn, new look b wese e hogi shyd :P",love
Gujjar tune karni ha ya nai pics send.,anger
Meanwhile get ready your system and Skype,neutral
Yr bht galat kea ha ux na.,disgust
Mein daikh hi nahi raha. Im studying. Lolz,joy
Us nae nak mae kuch gusa Lia hy......hahahaaa....,joy
Kal uth jana tm 9 bjy ab ku k ami schl aur mujb clg aur chacho b chalein jaein gy clg,neutral
Yr banda poch e laita hai.,disgust
Geo ki hi! Nd nae yr abi cmplt nae hua me drama jo dekhne lg gae thi ab kl se strt krn gi usy dobara! ,sadness
K abi to bs khari hai chacho soe hue hain,neutral
Yar bowling nai ha unke pass,sadness
Tmhara bhai uthaye phone mera kya qasoor,neutral
Yar udar ane jane ka tu koi masla nai ha.,neutral
bhai usy paisy dy diye hwy hain photocopy kr ra ha idhr e aja,neutral
g ok m thak jao ga soo jao ga,neutral
Nope..its k...tm se baat kr k study se mind side pe hta hai to acha feel hta hai,joy
Yr to aj daras p ae g ,anticipation
Yara meri class ha jaldi aa.,neutral
Naaahi naaahi naaaaahi tu tera aba bhi,neutral
Me sch rha hu bhr chla jao,neutral
Me class me hi nae hu :P,joy
Tb tak to khair sy 3rd shru ho jaey ga,optimism
Rool no or cnic snd kro,neutral
Mind nai kia meny..aur agr ap kO lgta ha k kia ha tO ma kya keh sakta hO...,disgust
Yawr managment ki adsignment to bta dy,trust
Ha sb teak ha. Or tmhare ghr?,neutral
Nhe  : sy tk fre hun sy clas hy ,neutral
Guests hn?sonay lagi ho ya busy ho?agr guests mein ho to reply mat krna dear,anticipation
"No doubt sir. I hope you would agree that Argentina was having an upper hand in terms of the chances and tight defense. In my opinion, Germany was quite lucky to survive atleast a 1-0 lead.",anticipation
Yr uska husbend to bht pyara ha b8 uski ek nend to toba ha,love
Idr office hazar banda ata ha. Un me se aik keh rha. Aur hc b keh rha,neutral
nhi yar me tjhe abhi send kr do ga!!?,optimism
Yar baba jan Lahore a rahy hain tu puch raha k ap k pass time hy tu kpry wagera leny jana hy q k main or hassan rehman tu ja rahy ap jao gy tu koi achy ly lain gy,neutral
Yes it would be my pleasure,joy
Yr ma dost se 200 lya ha ghr se nae mla plzzz kr dena,trust
Kal ya parsun ami ne chaly jana h k.p me akela,fear
Screen to wohi a rahi ha,neutral
Ha g consult pa ha tu ,neutral
Memona kb tk ana ha me nahny ja ri hun,anticipation
Me ne keh dia tha logical se baat hy mere parents ne wait nai krna,fear
Tu nay kasam uthai hai qayamat tak call na kry ki. Chall call kr aur bata...,trust
ok sir i will be there,optimism
Yar bhair sa uncle a raha hn unho na kha ha is laiya ,neutral
"yar likhwaty sarey code hi hy ...intro hi hota gay karna khud hi hota ,",neutral
Nahi na tanz tu karna nahi ata :-P,joy
Subha ap uni ao ga na phr bat crty hy mery pas blnce ni,optimism
Han tu 1 inning hi zaya hoi ha,neutral
Haha conductors wala kia hi nai to krna kaisa hain :-D lol,joy
Tahir sahib ma riksha ma a raha hun barkat market.,neutral
plz text me when u get free,optimism
Itna yad kr raha tha tja 3 din hu gae ha koi bt ni hue.,sadness
"Haha ese e hota jab koi apna chor k jae to 
ya bnda ae e na ae to phr jae na",joy
Mob charge per tha bhai  bol to,neutral
Me Sande Pohanch Gya Hun. STOP Pe.,neutral
Yar bande ki kuch majbori bi hoti ha me nai a sakta.,fear
I am now in your browser does,neutral
"Sahe, khana bhej dia karo lol :-D",trust
Tery abay nay kehna ae Clg waly bhi keh rhy hain mat awo clg ye kera clg ha jo 4 bje bula rha ha,disgust
Yr 1 ko interview to ni gc ka,fear
Han mila tha min aur ahmad ,neutral
Office ma bachon k kia halat hain? Farhat nay kia kia maryam ka? Aj ma mail parh rae thi. haan h bag is ready,neutral
han mri sis k achay e agye mrkx,neutral
Tu ny yhan sy guzar k jana hta h uni??? To mjy lyta jay ga ucp sy??? . . ,anticipation
han sir achy to hain pr agay pta ni kia hoga,neutral
"Smjha ni m kch :p 
rephrasing k tu 20 b ni de ra ta to 25 kese krdie ye bat mri khpri m ni ja ri",trust
Yr jb to s0i hoi thy mere txt ka kia faida,neutral
"Per papa ne kal pyaray afzal dekha tha poooooora,",neutral
Phr pehla pta ni koe ntwrk prblm the. Ma msg krta tha to mja wapis send hta tha. Tja ne jata tha.,disgust
Yr mujhy dair ho gaye the.abhi be min aur ahmad samney he ha tm log ha jao kuch nai hota.,fear
Fazan main abi bahut dhor hon,neutral
Tu pagal hgaya wahab ka halat nai thk yar cnfrm hai,disgust
Sir are you free in the evening?,neutral
Yar! Aaj Sham Tumne Kitne Bje Ghar Ana Hai?,neutral
Nhe m us grund m nhe gya aj,neutral
Hn ji kr lia h . . . ,neutral
tm AA na hai to aao ...... Tang nai karo khuljatay hai pehli dafa bunk Mai mar rahay :D .... Gloriajeans to khola hota hai na .....,trust
So exchange krne dein gy woh ??,trust
"Marjani bus hi nai ayi abi,",disgust
Nai yaar tu pagal ha kiya,disgust
taira name search nai hota :P,sadness
asl m mai b lhr hoti hn,neutral
Ye kraya nai hua sir ne.kisi k pas code nai hai.bnana parega,fear
Subha 2nd time wali bus ktny bje stop pe ati hai????,trust
Ha abdullha ab bol sb tek ha na.,fear
Yr dani 200. Min LA dena ma lrke se lye ha WO khr dmag ha rzlt ke bad se abhe paise nhe mlte ziada,sadness
Q k ap k bohat se ase kaam han jo me ne nahi ki'ye.,sadness
wo din ni bholna na e tmy hahah,joy
Message pe baat kro jo krni hai 1 se phle bahir nai a skta,fear
raheel ma n mail kr dia ha tjy progrmm dkh or kuty ko set kr k da,disgust
Is wja sa out nai ho rha tha (y) well played.,surprise
Yeah but dopahar k khany k bd,optimism
May aj kal busy hi rahta hun,sadness
phr kya mane bl dya k hn hm 2 dn sy parh rhy hn. wo b dikhawy ka.,disgust
Yr kal shaam ka rakh sakta ha plan?,trust
Yar bahr na jaa kaha jai ga bahr...kia karai ga ja kai,neutral
Pta ni abi ghr ni aya,neutral
Tera aj marny ko he dil ha jani. Tm ne aj kuch lena he ha :-P,trust
Yes you can but now interviews are closed.... if you wana join contact me on tuesday.....,fear
Movie dakhne laga hu laptop pe raja natwarlal.,optimism
"Thanks dear
So nice of you
IA Friday ka paper dy k aap se gup ship ho gi pir",joy
Thanks for that special occasion to,joy
sibi puch raha ya dctr hamid,neutral
Yar tu abi aja na wO kehta ha ma nechy office ma hO usy jaldi bulaOo,fear
han sb thek hy ... ap sunao sb theek hy,neutral
Yr php ky totrial apky laptop mn kaha parx hn,neutral
Ja jaldi ja kr tatti kar k a,disgust
"Yad nhi h uski newly shaped eyebrows ne usay chonka diya th k 20 din se wo kaid h to phir...
or usnay woi pani jo hamdardy ki wja se laya th woi uspe ulat diya th.",neutral
Han kfi bhtr ha ab..chunian aa gye ha....,neutral
Nomi bhai se kah do pakage end ho gya ha ,trust
Yahi p utr ja foran or uski side p khra hoja usy rok lien jb aye tery pas,neutral
Eid kb ha mae zaror ao ga.,optimism
"Sir, would you be available in university on thursday and friday.Your students want to get their thesis signed by you.",anticipation
Thanks for that matter. If it,joy
Yad kraa dia  . .. :-P aj msg ni kia tha :-P ,joy
Uni ki aukat hi nai ha coke wapi,disgust
Pese la li aa kar yar,trust
Talha ya hafiz ko add krna? ,trust
To phirr wo kro jo tumhain acha lgta hy .... Mtlb apni mrzi kro bhaar mai jaoo .. Mari trf sy  Ma mind nai kron ga. ,anger
"Zohaib kh rha ha uss ka ghr bacha prhna ata hain ksi aur din chala ga,",optimism
Suba se ap bank ma e hain,surprise
Yrr wait kr le na... Traffic hai rushy roads,disgust
Wese tmara dharne ka experience kesa gya???,neutral
Yar ap uol a sakte ho ?,neutral
No... Ask moma i inquire about u everyday...,neutral
Nae matlab thek hogaya 🙄 🙄 🙄,joy
Sir uni kitnay bjay jana hai?,neutral
Hoxtl life ma hm bht jald matur hO jaty hai,fear
Monday ko eik lab hoti thi pehly.. Timetble chnge to ni howa?,anticipation
Kyaa baat hai janab apki to kamaal kr dikhaya ap ne :-*,trust
Yar zamad ka or sohaib ka nbr snd kar,neutral
Many many happy returns of day man.,joy
Yes sir just seconds before your text :),joy
Mujy kia pta me to pini h bs,neutral
Yes.I am in fyp lab cabin.but fyp presentations are going on,neutral
Yr banda poch e laita hai.,disgust
Yr koi or clr rakh lo white dhoney wala boski rakh lo,neutral
ma n kaha k yar stdy ma ma b buzi hun or wo b...,neutral
Talha kitney bjy kalma pohancho me or tu kitney bjy aega,neutral
yr bat ye hy k iphone me virus ni ata,love
Meray khiyal mein ye six ha,anticipation
"Passing criteria bht zyada hy yar n yahan sary larky genius type hain BsCs main class projects main wo bana chuky jo hum kabi final main naa bana sky
admisn interview main thy ask k mera FYP kya tw when i said website designing tw thy said FYP  ye nae ota its a childish wrk bistiii o gae :p ",fear
Han to bhabhibka suna kab de rhi,neutral
Wo beech ma ik or dabbi lga gya ha sari wires us ma lagi hain,neutral
Mera mood bilkul thk hai kasam se,neutral
bhai k sath a ja mejy zrori kam hy,trust
TO waqar sy b poch ly unho ny b tO jana ha na,neutral
Nahi yr. Wo soya hwa th.,neutral
to ye shaina A rab kon hai,neutral
Send kar :P..... Name conform hoogaya???,trust
"Yr ab asa kri meri proxy lgwa dyi..
Agr possible hua",trust
Nope..os mai virus aa gya tha,disgust
Muhammad Asif sheikh or Rana  Muhammad ashraf khan.,neutral
Yar AI ka sms backup and fb ka tareka bataye,trust
Expo utar kr a rha hon bs,neutral
Han yar ab lga di hain to karni to pare g na,disgust
Han ye fit hai ok ho gya time btao?,neutral
N gpa ni display hora abi..sirf marks e pta lgay,disgust
Idhr gaon me.. Kam start hai kal sy..,optimism
Yr us na pehy par jana mery tm na mjy moti ku kha kra dy lari hamri ab.,fear
Mene jannat k pattay prh liya atlast :'),joy
Tm e calculate kr k bta do,neutral
Han us main tu kuch khass nahi hai itc ki slides main,neutral
Muje lga k may be fload ki wja se clg off ho,fear
Mam bht aala prhati hn yr,joy
Meri university tou start hi ni hui abhi,neutral
U need nt 2 b worry,optimism
or har time ek e bt krti ho movie movie,disgust
Yar it series ki book chahe.,trust
Yar hfez cntr aya hwa hO mbl ka issu h,fear
Ohhh saii thn may b dewarani any se khuch relaxation ho jae :) ;-),joy
Hi uol off till january 9 & comsats january 2 :),joy
"Okay best of luck or teachers list ya time table kb any hn..
Enrolmet kb start honi kuch pta!",optimism
Plans..bahir nikalna to hay..ab dekhoo..ek to garmi bht hay yarr,optimism
Yr kal shaam ka rakh sakta ha plan?,trust
Ha zaroor batao ga zara uni ponch jao,neutral
"bhai msg ap ny kia h """"lolzzzz""""   ..  ap btain ap kon??????",joy
I m coming to uol now. R u thr?,neutral
Meine adil ko kaha hai wo ker rha hai page numbers edit ab.hm krlenge finalize sb kuch,optimism
Yar tum theory or lab aik he sec k sath parh rahe ho,neutral
"Yeah. Because I dont care.
She is so sticky girl and narrow-minded,ahh. I hate these stuffs.",disgust
I said at the first responce ky you're taking it worng,disgust
hahaha...ucp ma jis mrzi field ma ly lo...pundi h pundi ha dnt wry,joy
