Text,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
Is form no k against msg mil rha ha k not in lists contact admission office,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
mery sy koi galti ho gai ho  i appologize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Yr wohi hai b block 132 upper portion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kabi kabi mery dil main ye khayal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Us Page Ko Refresh Karta Ja. Khul Jae Gi.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Room k bata dy1 ho ga ya 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jaldi sa dhund mery bhi..
Tjy pta ha us k bgair kam nai chlna.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
S0ry yr wo sis ka cel khrb ho gya tha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Tensn nae lo yar,tmhara area safe hai...",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Where r u right now? Aur subha 8:30 nai le sktay ager koi msla nai,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"wsa mob walakam bra ala ha kch intall nhi krna prta bss code likho save kro run kro applicaition intall...,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
us ne istifa ni dna jo ho jay marzi ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sir doc check kar liay han??,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yhan py tou bhag rha time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Khn ho sir faizan bolare hn!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parchi ban gae hai aur hmara 4th num hai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oye comissioner ka beta sath ha tery?,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"OK key mery paas nai hai,,,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Pick n drop kon karay ga ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
han g abi show ni ho ra idr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plans..bahir nikalna to hay..ab dekhoo..ek to garmi bht hay yarr,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Yaar kal bethnga aj thaka howa hn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Iss ka matlab mere pass bohat time hai.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Me ne nahi khanay daal chawal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ea ke 2 dafa piaton change krwa chuka hu masla whi ka whi hy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nae aj tou nae kal ana ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bs kbi kbi pr leta hy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
han han tm to kaho gi pr ami ka dil ni krta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Yar nend buht a rhi ha aj kal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tea pee raha hu wd chicken patis. :),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mushkil to ha but bnani b to ha.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haan sidra ki vja say nraaz hou tou maan laitay hein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pata ni 7ya 8 ka... project may bana kia raha hai?,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Yr juice corner aa ja tjhy pta to hai meri halat ka, ma kesy aun
Idr aa ja",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meera to pai separate room hy ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"In opposite wo mjhy kehta k ap parho mera b naam roshan kro n apny mom dad ka b :p 
n aj wo kehta sab sy salam dua rkho kam par jata hy kabi na kabi :) 
like main is trhan ka trust us sy xpect kr rae thi",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Sir atndnc plz check kr li jiay ga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Ha dekha ha firing sheling etc 
Ch nisaar b gaya ha waha ab dekhO kya hOta ha",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haan chlo theek ha ma wait krun ge k ab kab chakr laga rhy ho tum log lhr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tu apna dost ha tughy aik chance aur deta ho apny alfaz wapis ly ly,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamid simmons bowled 35-3 7.2 over.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hahaha...bri awla soch ga wasy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Min nae kaha ka cake wagarha distributed khar lae gae aur baqi be khar lae ge.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krta hain phr ... Sham k time jb tu free ho,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tjy koi bi preshani ho to mj sy share kri zroor,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hahah ly many apna nae lamba jub abna labu gi tera v naal lab lawan gii main :p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Thaik a hun fr ki karna a,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
han ammmi se ki ti bt meeee neee q pocha tm ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yr main b abi enter hi hua hn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python run kiday te krni a?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
try ty adat ae nae badal sakdi.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Unix system programming 
""Kay a.Robbins ,Steven Robbins (pirated)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tble tenis champion bn gya hn aj.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sir cp ki lab h n b03 me he i thnk.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Han main kr dun ga tun tension mat ly yar,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Faiza Baaji....
Number tu send kar den...
Hello.. Hi.. kar loun .. So that we dont feel awkward sitting next to each other.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Us k bd din me bhr h0tel me khana kha lyn gye f0trus phr lyn gy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ok five mint tk aata hon,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Yar talha b ab to wapis araha hay,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"sir ne review v kr lya a mera synopsis,ona di recommended changes kr ryan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Ha g whi hai samne ab ghr to bn gae hai kafi pas mae lkn rt ko koi b nai ata to is liye phir tb jaty hai ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yar A4 me seminar ha a ja..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yr mje aise jalsay jalos k msg mt send kia kr i m nt interested plz,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Usi k leye teyariyan ho ri hn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kesa he yr kia kr ra ajk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main to pahlay bhe ni soch raha tha :),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ok mama ny ana tha thori dair tak arai hain ap k ghar,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mein to aaj barish ki tabah kaariyon k bd or blke kaam wali maasi ki chuttiyon k bd ghr ki safaiyaan ki hn :| :D,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mera intzar kr me a rha hon!!.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Koi zaida fark nae ha dnu me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orr tuesday ko koi quiz to nai?,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
agr dosti ma time nh dy skta to phr bola ku? ku dxti ki mane,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kipsss ma wo parhny kb jati the...jo wo krny jati the mjy pata ha ;-) ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pta ha yr pc alishan dramy baz ha... Na wo fon uthata ha... Wo aj bta deta to enrollment  krwa leta... Wo bgerti krta ha,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yara meri class ha jaldi aa.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wo keh to rhe hn k prso aa jaye ga,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Oye tm pereshan q h0o0o0ti ho?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yr liner me paris ka use krti hn us b hath betha va hay mraa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nahi na tanz tu karna nahi ata :-P,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
han ghr m fre e hoti tm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main Allah ka shukr theek hun ap kaisy o dear? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yar zamad ka or sohaib ka nbr snd kar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g kb ka naha b liya or parh b liya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hudi apni trf se likh k send kr alehda alehda ese alhaty jatay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sab daramy bazi laga rahy hy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Putar g ae gal mai v kr skda ho,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yr kasa hai.kya ho rha hai aj kal?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"irsa.. roz USB lena bhul jatu hun, kl le ana mene mbyl me copy krni hn cheezen.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qasam sy bara bhai or Ami dono khey rahy hai k abi koi time ni hai subha ml lena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Yar ata hoa haleem la a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nahi woh shugal laga raha hai... asal main woh apnay dostoun ko bhi sath laya tha... ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ni aj aye ga wapis puch k btata hun kb tk phonchay ga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ws ...g sir aap ne kuch guide krna ha tu aa jaey sir no prbm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hum ne ni keye abi yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Yara main NY abhi  parhy hain  msg's.!! Ok dy  jaon  ga  book,,,",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Wo kun g kair to ha sab kia kia sbha say ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nae many q ana wahan bus yun hi poucha hawn par agr ap umt aa jaen tw most welcome g,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Me to all time ready! Kl in sb se b kahun gi yr kl jb b kisi aiutabl time online ho tm ya me to sb ko txt kr den ge is tara sb se baat ho jae gi nd itne time baad hmm sb ki ekathe baat ho gi! Maza ae ga! :-) ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M.phil kr ri he wo b sid k sath . Ar ap ne btaya b ni . Ab sid u k frend he  ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tm aur ami so skty thy to intsar tere se bara ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udhar jo saaf baat h tum nahi padh sakty ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ya aisa kar fb py tu pics le li differential ki,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kher pind b ni kh skty akela apna e ghar h yhan bss ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jb wo aein to mera dil e khrb o jata h dil krta h jaldi jaein ye,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ma ny mama k walet ma rakh dye  the,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Us sy poche k tere pas paise han ya nahi show na krwaen k hum ja rahe han agar kh dy ga han to phr bta de,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
man gy hn bs papa hn wo b kia kren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tmara to p0rany walaaa jo0o0o ha to k0nsa tha?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Many kal kuch kaha tw kehta mjhy lahore ki larkyan nae pasand ab n bta nae taunt mar raha many simple bat krna chor di yar jo tjhy in confidence nae rkh skta hw u xpect good relatn,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yr khana khaney laga tha dosto ne utha dixa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O aya ni ton halay tk?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Shahid aa saktay ho skype pay?,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ziyada ziyada 50 score se har jayr,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jnab. My form nmbr is not on list.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yr gr me beth jata to sara din b0r o jata ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oee abbasi mai wait kar raha hoon ...... Odhar aajao.....,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ok. Free Ho Kar SMS Kar Dein.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
meri aunti ka beta us ke pas pehly carola thi ab us ne mehran le hy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Yr o cca da paper wa 29 nu es leay ana wa fr vapas ki jana main kia eid kr k e jawan gy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Yar rat v net ni c chal rya,hun office vich le k nai aya",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wo tmari ch0o0oti sistr ka kia bna?,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
room m mubeen wahan kothi par hy .. kam tha osy  btai beghair chala gaya,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oy yrrr islambd ka kuch ptaaa krrrr lrky 5 hoo jyngy agr ticket miltii hy toooo serious men.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pti me ami ko ly kr ata h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nhi. Me Light Ane Ka Wait Kar Rha Hun. 2 Bje Aae Ge.:-),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
To lae khar aye min itne door say  aya ho.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V r coming now aftari k bad wapis chale jae ge,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Han esi bahany larkiyan b dekhnay ko mil jaye gi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Papa ko f0ne kro,humy to yehe bla ha unu ne",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pata nai baba ka msg nai aya roll no yaad nai,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hows your b.day going b.day girl?,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Me mausm enjoykr rha hn,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ni us ne pas bula kr cheza puche the.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pta nhi, wesy mjy ni lgta k ho ga",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bhai sory agr aj meri koi bat buri lagi ho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
m abi utha tabiyat nai theek meri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Rehman garments ke pas hn mai aja ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Its good for you, if you do so.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Yr plzz mere liye 2nd row me jaga zaroor rakh lena nd boyz ki taraf wali seat na rakhna plzz! Mje thori si der ho jae gi cx of traffic!,",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Mae is waqt ghar sae bahir hoen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main ny nahi jana meri class Tuesday ko hy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mje to ni pata. Last time to ni i thi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G1 ja rha hoon ajai udher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hn or kya.
na tjhe smjh arhx na mjhe.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Yaar ma to business ma jana chata ho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wese keh rehe hn k bn jaye ga par urgently nahi bne ga.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Uol mn test ka applicant number send krn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
bas jitna bike tang kar rahi hy soch raha hu ake gari le lo ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ye koi adhy ghnaty ki film reh gai ha ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hafiz sahib dak lu aa changi gal nai jo tusi kr rae hu.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tm kahan h hm rm k bhr khry hn yr 2 bjy hmri phr clas ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gyA h ni nashta krny...ab jaga hun ma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
tri e badnami ha ye b B-) B-) B-) tera e bhai hn logo ny to yhi kehna ha na,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Plz mje btaen bht tnsn ho re h,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Library ne aia m library m hn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yar hr over ka BD reply kr date lite nai ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Or may be too busy in texting to some one...  :P,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Guyzz arfa k liye ek pond ka cake lena e ya do ka????,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hmmm. Allah pak aafiat aasani aur khasosi karam ka muamla farmaiay ameen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Ghr pay sab theek hain Allah ka shukr 
uni abi sai sy adjust nae o rae main girls sy b naa zyada baat ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Yar meri ankh khul jati , phr sojati and so on. .. .",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bt jahan pe job kro gi wo krne dain ge sath mastrrs??,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ya phr sim py net on kar k snd kar dy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ni yar sali ne lift hi ni karai...,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuch nai tm suna do koi shadi ki kia prgrm ha pirr,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
